activity,activity type,authors,classifications,code,comment,database,filename,flow,location,name,parameters,production amount,reference product,synonyms,type,unit
7f6ec89c-a6e9-5632-a963-3a22cf2eb66a,market activity,"{'data entry': {'name': 'Florentine Brunner', 'email': 'Brunner@ecoinvent.org'}, 'data generator': {'name': 'Florentine Brunner', 'email': 'Brunner@ecoinvent.org'}}","[('EcoSpold01Categories', 'hard coal/fuels'), ('ISIC rev.4 ecoinvent', '0510:Mining of hard coal'), ('CPC', '11010: Hard coal')]",38bf19c9c5f3abbf3cfbf26ffb77fe49,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'hard coal', in the geography of China.
This dataset covers the average transport distance specific to the domestic market of hard coal in China. In China coal is transported mainly by railway (60%), water (30%), and road (10%). Two major transport corridors are distinguished: the North–south coal traffic accounting for 75% and the east–west coal traffic accounting for 25% of the total coal transported (Wang and Ducruet, 2014).
Dust from transport and load/unload operations is included. Average coal losses are considered. Average emissions to water due to leaching from coal heaps at storage is estimated from the literature.
Geography:  Transport distances are geography specific, losses and related emissions are generic values applicable worldwide.
Technology:  Not specified",cutoff-3.9.1,7f6ec89c-a6e9-5632-a963-3a22cf2eb66a_0d3eda5a-4601-4573-9549-0701c459ab88.spold,0d3eda5a-4601-4573-9549-0701c459ab88,CN,market for hard coal,[],1.0,hard coal,[],process,kilogram
af09d0cc-84be-5c87-af49-9d9525dbbf9d,market activity,"{'data entry': {'name': 'Carl Vadenbo', 'email': 'vadenbo@ecoinvent.org'}, 'data generator': {'name': 'Christoph Meili', 'email': 'meili@esu-services.ch'}}","[('ISIC rev.4 ecoinvent', '4661:Wholesale of solid, liquid and gaseous fuels and related products'), ('CPC', '12010: Petroleum oils and oils obtained from bituminous minerals, crude')]",c7cf571e5175aa5d01e44a386009bcec,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and the imports of the product (if relevant) within the same geographical area. They also account for transport (distribution) to the consumer and for the losses during that process, when relevant.
This is the market for crude ‘petroleum"" oil [kg], in the geography of Global.The consumption mix is calculated based on international trade statistics for 2019. The modelling approach for transport from extraction site to the port of destination via pipelines or tanker freight ships is described in Meili et al. (2022, section 3.4). Further transport from seaport to refinery is described in section 3.6.Crude ""petroleum"" oil is a fossil fuel with a net calorific value of 43.4 MJ/kg. The density of petroleum set to 858.1 kg/m3. Its main application is as the feedstock for petroleum refineries, for the production of various fuels and petrochemicals.
Reference(s): 
C. Meili, N. Jungbluth, M. Bussa (2022) Life cycle inventories of of long-distance transport of crude oil. ESU-services Ltd. Schaffhausen, Switzerland. Availble from: http://esu-services.ch/data/public-lci-reports/
Geography:  Global",cutoff-3.9.1,af09d0cc-84be-5c87-af49-9d9525dbbf9d_e6aad2de-0b1b-49c3-a0c4-797ba34d87e5.spold,e6aad2de-0b1b-49c3-a0c4-797ba34d87e5,RoW,market for petroleum,[],1.0,petroleum,[],process,kilogram
b3726846-0805-58cc-852a-2ff078f88a50,market activity,"{'data entry': {'name': 'Carl Vadenbo', 'email': 'vadenbo@ecoinvent.org'}, 'data generator': {'name': 'Carl Vadenbo', 'email': 'vadenbo@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '4930:Transport via pipeline'), ('EcoSpold01Categories', 'oil/production'), ('CPC', '65131: Transport services via pipeline of petroleum and natural gas')]",8e3e9f990e51c3986d3aac4ab4225d4a,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'transport, pipeline, onshore, petroleum', in the geography of Europe.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is delivering the service of transportation of 1 metric ton across the distance of 1 km. This service only considers the transportation of fuels, like petroleum, through onshore pipeline. The pipeline operates with electricity.  ",cutoff-3.9.1,b3726846-0805-58cc-852a-2ff078f88a50_659981bd-1a5f-4e8c-8208-6e0e7f935332.spold,659981bd-1a5f-4e8c-8208-6e0e7f935332,RER,"market for transport, pipeline, onshore, petroleum",[],1.0,"transport, pipeline, onshore, petroleum",[],process,ton kilometer
372a1991-e0af-5fbf-8611-295a535373ad,market activity,"{'data entry': {'name': 'Guillaume Bourgault', 'email': 'bourgault@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('EcoSpold01Categories', 'metals/extraction'), ('ISIC rev.4 ecoinvent', '2410:Manufacture of basic iron and steel'), ('CPC', '4124: Bars and rods, hot-rolled, of iron or steel')]",bd3a3818f60643fd78eccefa7b4390c1,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'reinforcing steel', in the Global geography.
In this market, expert judgement was used to develop product specific transport distance estimations.",cutoff-3.9.1,372a1991-e0af-5fbf-8611-295a535373ad_9ba48284-0f03-4fec-800d-de77833b12f6.spold,9ba48284-0f03-4fec-800d-de77833b12f6,GLO,market for reinforcing steel,[],1.0,reinforcing steel,[],process,kilogram
7a167e54-cc93-51c0-82bc-bb5347854a88,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('EcoSpold01Categories', 'oil/production'), ('CPC', '53251: Local pipelines')]",af8e25023e225ba737eaa8fd07b8cd02,"This is a market activity. In the case of services or immobile infrastructures, markets are connecting suppliers and consumers at a global level. For specific connections at regional level, direct links between the local producing activities and the local consumers are preferred. Transport or losses are logically not relevant for this type of products.
This is the market for  'pipeline, petroleum', in the Global geography.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is an immobile infrastructure, representing the construction of a pipeline that is used for petroleum distribution. The process includes building materials, land use, energy and water consumption and decommission of pipelines.",cutoff-3.9.1,7a167e54-cc93-51c0-82bc-bb5347854a88_e45a29f8-34d6-4aac-bf03-b8d729b0099b.spold,e45a29f8-34d6-4aac-bf03-b8d729b0099b,GLO,"market for pipeline, petroleum",[],1.0,"pipeline, petroleum",[],process,kilometer
80205fa6-64db-55ab-9783-f3a5d45b90ac,market activity,"{'data entry': {'name': 'Guillaume Bourgault', 'email': 'bourgault@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('EcoSpold01Categories', 'metals/extraction'), ('ISIC rev.4 ecoinvent', '2410:Manufacture of basic iron and steel'), ('CPC', '41121: Non-alloy steel in ingots or other primary forms, and semi-finished products of non-alloy steel')]",d872e0d78319cb13e12b96de83e19dd7,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'steel, unalloyed', in the Global geography.
Transport distances are based on the ecoinvent ""Default Transport Assumptions"" model, accessible on the ecoinvent website.
Geography:  Activity represents the supply of iron ore concentrate globally.",cutoff-3.9.1,80205fa6-64db-55ab-9783-f3a5d45b90ac_a2fd8c95-f2db-436a-9f24-f33b17f7975b.spold,a2fd8c95-f2db-436a-9f24-f33b17f7975b,GLO,"market for steel, unalloyed",[],1.0,"steel, unalloyed",[],process,kilogram
50c067b0-6d6f-5e2c-bc56-14f6bc6ace18,market activity,"{'data entry': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}, 'data generator': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}}","[('EcoSpold01Categories', 'natural gas/power plants'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",2a47d1f45c6b5a6410f707b7330d442e,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level in Iraq. This is done by showing the transmission of 1kWh electricity at high voltage.
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines, as well as air-, vacuum- and SF6-insulated high-to-medium voltage switching stations. Electricity production according to related technology datasets. 
Definition of the voltage levels: 
 - High voltage level above 24 kV (large scale industry)
 - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
and public buildings)
 - Low voltage level below 1 kV (Households)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff-3.9.1,50c067b0-6d6f-5e2c-bc56-14f6bc6ace18_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,IQ,"market for electricity, medium voltage",[],1.0,"electricity, medium voltage",[],process,kilowatt hour
48e029cc-89da-5260-b6ef-d62c3b47e422,market activity,"{'data entry': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}, 'data generator': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}}","[('EcoSpold01Categories', 'natural gas/power plants'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",d3f2289e4e89dbe20caf6a048272b8d3,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level in Saudi Arabia. This is done by showing the transmission of 1kWh electricity at high voltage.
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines, as well as air-, vacuum- and SF6-insulated high-to-medium voltage switching stations. Electricity production according to related technology datasets. 
Definition of the voltage levels: 
 - High voltage level above 24 kV (large scale industry)
 - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
and public buildings)
 - Low voltage level below 1 kV (Households)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff-3.9.1,48e029cc-89da-5260-b6ef-d62c3b47e422_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,SA,"market for electricity, medium voltage",[],1.0,"electricity, medium voltage",[],process,kilowatt hour
bce0bed4-73ef-509f-b028-a8073cff70e7,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('EcoSpold01Categories', 'oil/production'), ('CPC', '53251: Local pipelines')]",ee4acc381a4c535bb8509677f3e0e77c,"This is a market activity. In the case of services or immobile infrastructures, markets are connecting suppliers and consumers at a global level. For specific connections at regional level, direct links between the local producing activities and the local consumers are preferred. Transport or losses are logically not relevant for this type of products.
This is the market for  'pipeline, petroleum, offshore', in the Global geography.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is an immobile infrastructure, representing the construction of a pipeline that is used for petroleum distribution in the sea. The infrastructure has a lifetime of 30 years. The process includes building materials, land use, energy and water consumption, emissions and decommission of pipelines.",cutoff-3.9.1,bce0bed4-73ef-509f-b028-a8073cff70e7_7eb2252c-321f-44f6-ab30-4867cac13cc2.spold,7eb2252c-321f-44f6-ab30-4867cac13cc2,GLO,"market for pipeline, petroleum, offshore",[],1.0,"pipeline, petroleum, offshore",[],process,kilometer
9929947a-59be-5161-a843-1870e8222cba,market activity,"{'data entry': {'name': 'Carl Vadenbo', 'email': 'vadenbo@ecoinvent.org'}, 'data generator': {'name': 'Guillaume Bourgault', 'email': 'bourgault@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",2d97304720b0ddb43eeb1e98676fda24,"This is the market for ""diesel, burned in diesel-electric generating set, 10MW, for oil and gas extraction"", in [MJ fuel input], in the Global geography.
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This market contains no transport or losses, as they are irrelevant for the delivered product.
The activity ""diesel, burned in diesel-electric generating set, 10MW, for oil and gas extraction"" represents the use of a fossil fuel. It is used as a liquid fuel and is sourced from distillation of heavy oil. This exchange provides the service of burning 1 MJ of diesel diesel-electric generator. The services also includes (air) emissions and the production and provision of fuel. Following the approach of Meili et al. (2022), region-specific emission data for the overall production of crude oil and natural gas are considered for CH4, NOx and SO2 (as described in chapters 9.2 and 9.5 in Meili et al., 2022). Emissions of CH4, NOx, and SO2 are consequently omitted from the inventory of ""diesel, burned in diesel-electric generating set, 10MW, for oil and gas extraction"" to avoid double-counting. 1 MJ equals 0.0234 kg of diesel (LHV of diesel ca 42.8 MJ/kg). 
Geography:  Global",cutoff-3.9.1,9929947a-59be-5161-a843-1870e8222cba_3454a297-a1e9-4ac5-9915-3b9601c0a7f9.spold,3454a297-a1e9-4ac5-9915-3b9601c0a7f9,GLO,"market for diesel, burned in diesel-electric generating set, 10MW, for oil and gas extraction",[],1.0,"diesel, burned in diesel-electric generating set, 10MW, for oil and gas extraction",[],process,megajoule
