activity,activity type,authors,classifications,code,comment,database,filename,flow,location,name,parameters,production amount,reference product,synonyms,type,unit
77234dca-0bba-5e0d-9ab9-ad7b339b475a,market activity,"{'data entry': {'name': 'Carl Vadenbo', 'email': 'vadenbo@ecoinvent.org'}, 'data generator': {'name': 'Carl Vadenbo', 'email': 'vadenbo@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '3520:Manufacture of gas; distribution of gaseous fuels through mains'), ('CPC', '12020: Natural gas, liquefied or in the gaseous state')]",56673abed84e84127218c13c4e72a080,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and the imports of the product (if relevant) within the same geographical area. They also account for transport (distribution) to the consumer and for the losses during that process, when relevant.
This is the market for ‘natural gas, high pressure"" [m3], in the geography of Kazakhstan. Imports to the market for natural gas in Kazakhstan have not been considered, and this activity is hence supplied with gas from domestic production only.It contains information on energy and transport requirement (excluding for any imports, which are modelled in separate datasets) and the losses and emissions occurring during the distribution.
The product ‘natural gas, high pressure"" is a fossil fuel, for which a generic gross calorific value (GCV) of 40MJ/m3, a net calorific value (NCV) of 36.0 MJ/m3 and a density of 0.735kg/m3 for natural gas are applied, in line with the global statistics (referring to standard cubic meters, Sm3, measured at 15°C and 1013 mbar), based on Meili et al. (2022). It is used as a gaseous fuel and is sourced from oil and gas production and evaporation of liquid natural gas. The initial overpressure of the gas is 1-5 bar (1000-5000 hPa). Natural gas supplied at high pressure is predominantly used by large consumers, e.g., power plants and industries. 
Reference(s): 
Bussa, M., N. Jungbluth, Ch. Meili (2022) Life cycle inventories for long-distance transport and distribution of natural gas. ESU-services Ltd. Schaffhausen, Switzerland. Available from: http://esu-services.ch/data/public-lci-reports/
Geography:  Kazakhstan
Technology:  This dataset refers only to the delivery of high pressure natural gas, which has 1-5 bar overpressure. The gas is supplied to consumers via onshore pipelines. The delivery at low pressure (0.1 bar overpressure), e.g., to households, is not considered within this activity. 
Time period:  Energy requirements are from 2019 and leakage data are from 2018.",cutoff-3.9.1,77234dca-0bba-5e0d-9ab9-ad7b339b475a_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold,a9007f10-7e39-4d50-8f4a-d6d03ce3d673,KZ,"market for natural gas, high pressure",[],1.0,"natural gas, high pressure",[],process,cubic meter
ecb862c6-1012-5b58-b10d-31aaa4b80f05,market activity,"{'data entry': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}, 'data generator': {'name': 'Christian Bauer', 'email': 'psi@ecoinvent.org'}}","[('EcoSpold01Categories', 'hard coal/production'), ('ISIC rev.4 ecoinvent', '0510:Mining of hard coal'), ('CPC', '11010: Hard coal')]",d9ed6c3ba3395e0b256feb6ff05a9b23,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'hard coal', in the Global geography.
Average global transport distances have been used. Dust from transport and load/unload operations is included. Average coal losses are considered. Average emissions to water due to leaching from coal heaps at storage is estimated from the literature.
hard coal' is a fossil fuel with a calorific value of 27.91 MJ/kg. It is used as a solid fuel and is sourced from coal mines after crushing, screening and washing the coal. Its main applications are in the following sectors: domestic fuel (mainly for hand-fired stoves), as filter media and as an ingredient in charcoal briquettes.",cutoff-3.9.1,ecb862c6-1012-5b58-b10d-31aaa4b80f05_0d3eda5a-4601-4573-9549-0701c459ab88.spold,0d3eda5a-4601-4573-9549-0701c459ab88,RoW,market for hard coal,[],1.0,hard coal,[],process,kilogram
07866e99-5158-5d4e-9238-e76e5dcff113,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '0910:Support activities for petroleum and natural gas extraction'), ('EcoSpold01Categories', 'oil/production'), ('CPC', '86211: Support services to oil and gas extraction')]",f09ee0b455c73460a73022e9a01a228e,"This is a market activity. In the case of services or immobile infrastructures, markets are connecting suppliers and consumers at a global level. For specific connections at regional level, direct links between the local producing activities and the local consumers are preferred. Transport or losses are logically not relevant for this type of products.
This is the market for  'offshore well, oil/gas', in the Global geography.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is an immobile infrastructure, representing the drilling of an offshore well, for oil or/and gas exploration extraction. The infrastructure represents all the types of offshore drilling. The rotary drilling method is predominantly used in wells for finding and producing oil/natural gas. The offshore drilling activity requires space for both supply and disposal. A temporary area of about 0.2 ha is required for the storage of the roughing, cement and other supplies (chemicals, fuels) for a well of about 3,400 m depth. The drilling time is about 2 months. The stress on the benthos (animal and plant life of the seabed) as a disposal site is assumed for the duration of one year. Thus, per meter drilled, about 260 m2 of seabed is severely impacted. The process includes all energy uses, materials and emissions for drilling of an offshore bore hole and finishing of the well. No differences depending on depth of sea and type of geological formation are taken into account.",cutoff-3.9.1,07866e99-5158-5d4e-9238-e76e5dcff113_3bce6a00-0e69-48c4-8fec-f3081bc61a3f.spold,3bce6a00-0e69-48c4-8fec-f3081bc61a3f,GLO,"market for offshore well, oil/gas",[],1.0,"offshore well, oil/gas",[],process,meter
fe84a2be-78a1-5d6b-8f52-d472738b2f4d,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '1920:Manufacture of refined petroleum products'), ('EcoSpold01Categories', 'chemicals/organics'), ('CPC', '33380: Lubricants')]",d83acfba43458f2b1ace32123e313f79,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'lubricating oil', in the Global geography.
Transport from producers to consumers of this product in the geography covered by the market is included.",cutoff-3.9.1,fe84a2be-78a1-5d6b-8f52-d472738b2f4d_ea75b944-c676-4a13-85b8-2bea98f765a4.spold,ea75b944-c676-4a13-85b8-2bea98f765a4,RoW,market for lubricating oil,[],1.0,lubricating oil,[],process,kilogram
12c963a4-01c8-5ae1-b9a6-af86d45e27c1,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('EcoSpold01Categories', 'oil/production'), ('ISIC rev.4 ecoinvent', '0610:Extraction of crude petroleum'), ('CPC', '862: Support and operation services to mining')]",39cd95994ac20d86007b6161240cb59b,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'petroleum combustion, in drilling tests', in the Global geography.
No transport required.",cutoff-3.9.1,12c963a4-01c8-5ae1-b9a6-af86d45e27c1_7c65ea22-94ec-466d-9e23-a130bd72b807.spold,7c65ea22-94ec-466d-9e23-a130bd72b807,GLO,"market for petroleum combustion, in drilling tests",[],1.0,"petroleum combustion, in drilling tests",[],process,kilogram
5ac6a046-8e55-5c51-bea9-83f7dddd5528,market activity,"{'data entry': {'name': 'Johannes Müller', 'email': 'mueller@ecoinvent.org'}, 'data generator': {'name': 'Johannes Müller', 'email': 'mueller@ecoinvent.org'}}","[('EcoSpold01Categories', 'natural gas/power plants'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",b07ec2f6a01139d4233f0b29090538e9,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level in State Grid North China Branch. This is done by showing the transmission of 1kWh electricity at high voltage.
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines, as well as air-, vacuum- and SF6-insulated high-to-medium voltage switching stations. Electricity production according to related technology datasets. 
Definition of the voltage levels: 
 - High voltage level above 24 kV (large scale industry)
 - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
and public buildings)
 - Low voltage level below 1 kV (Households)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff-3.9.1,5ac6a046-8e55-5c51-bea9-83f7dddd5528_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,CN-NCGC,"market for electricity, medium voltage",[],1.0,"electricity, medium voltage",[],process,kilowatt hour
26b4dc38-358f-566b-95ad-631940e38333,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '0620:Extraction of natural gas'), ('EcoSpold01Categories', 'natural gas/production'), ('CPC', '53262: Power plants')]",2739b02059e99f04600f367327f0f841,"This is a market activity. In the case of services or immobile infrastructures, markets are connecting suppliers and consumers at a global level. For specific connections at regional level, direct links between the local producing activities and the local consumers are preferred. Transport or losses are logically not relevant for this type of products.
This is the market for  'natural gas processing plant', in the Global geography.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is an immobile infrastructure, representing the construction of a natural gas processing plant. The infrastructrure represents a plant with an annual production of 1.54 E12 MJ gas, corresponding to a 4.23 E10 Nm3 gas, while it has a lifetime of 60 years. The process includes needed input material, land and energy requirements of a natural gas production plant.",cutoff-3.9.1,26b4dc38-358f-566b-95ad-631940e38333_4da7438b-1508-4eb9-b58b-9e85fcf26801.spold,4da7438b-1508-4eb9-b58b-9e85fcf26801,GLO,market for natural gas processing plant,[],1.0,natural gas processing plant,[],process,unit
7ddecd24-52fc-5fc4-a61a-33481b81427d,market activity,"{'data entry': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}, 'data generator': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}}","[('EcoSpold01Categories', 'natural gas/power plants'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",f78c2a78db02b8723f34138e384ff1c7,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level in Japan. This is done by showing the transmission of 1kWh electricity at high voltage.
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines, as well as air-, vacuum- and SF6-insulated high-to-medium voltage switching stations. Electricity production according to related technology datasets. 
Definition of the voltage levels: 
 - High voltage level above 24 kV (large scale industry)
 - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
and public buildings)
 - Low voltage level below 1 kV (Households)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff-3.9.1,7ddecd24-52fc-5fc4-a61a-33481b81427d_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,JP,"market for electricity, medium voltage",[],1.0,"electricity, medium voltage",[],process,kilowatt hour
15e0d5f5-4edf-51de-83a9-4b6b1a725a8f,market activity,"{'data entry': {'name': 'Carl Vadenbo', 'email': 'vadenbo@ecoinvent.org'}, 'data generator': {'name': 'Carl Vadenbo', 'email': 'vadenbo@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '3520:Manufacture of gas; distribution of gaseous fuels through mains'), ('CPC', '12020: Natural gas, liquefied or in the gaseous state')]",2e585b72b61f60b7425badee010955e3,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and the imports of the product (if relevant) within the same geographical area. They also account for transport (distribution) to the consumer and for the losses during that process, when relevant.
This is the market for ‘natural gas, high pressure"" [m3], in the geography of China. Besides domestic production, China imported large quanties of natural gas from other countries (mainly from Australia and Turkmenistan) in 2019 (BP 2022). The supply to this market activity, however, only includes domestic production.It contains information on energy and transport requirement (excluding for any imports, which are modelled in separate datasets) and the losses and emissions occurring during the distribution.
The product ‘natural gas, high pressure"" is a fossil fuel, for which a generic gross calorific value (GCV) of 40MJ/m3, a net calorific value (NCV) of 36.0 MJ/m3 and a density of 0.735kg/m3 for natural gas are applied, in line with the global statistics (referring to standard cubic meters, Sm3, measured at 15°C and 1013 mbar), based on Meili et al. (2022). It is used as a gaseous fuel and is sourced from oil and gas production and evaporation of liquid natural gas. The initial overpressure of the gas is 1-5 bar (1000-5000 hPa). Natural gas supplied at high pressure is predominantly used by large consumers, e.g., power plants and industries. 
Reference(s): 
Bussa, M., N. Jungbluth, Ch. Meili (2022) Life cycle inventories for long-distance transport and distribution of natural gas. ESU-services Ltd. Schaffhausen, Switzerland. Available from: http://esu-services.ch/data/public-lci-reports/
BP (2022) BP Statistical Review of World Energy 2022. BP, London, UK. Retrieved from: https://www.bp.com/en/global/corporate/energy-economics/statistical-reviewof-world-energy.html.
Geography:  China
Technology:  This dataset refers only to the delivery of high pressure natural gas, which has 1-5 bar overpressure. The gas is supplied to consumers via onshore pipelines. The delivery at low pressure (0.1 bar overpressure), e.g., to households, is not considered within this activity. 
Time period:  Energy requirements are from 2019 and leakage data are from 2018.",cutoff-3.9.1,15e0d5f5-4edf-51de-83a9-4b6b1a725a8f_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold,a9007f10-7e39-4d50-8f4a-d6d03ce3d673,CN,"market for natural gas, high pressure",[],1.0,"natural gas, high pressure",[],process,cubic meter
32c16984-e8a4-5858-8850-2de444d05f0b,market activity,"{'data entry': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}, 'data generator': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}}","[('EcoSpold01Categories', 'natural gas/power plants'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",6a3ffbd93d1633591d8ae12995243b03,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level in Qatar. This is done by showing the transmission of 1kWh electricity at high voltage.
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines, as well as air-, vacuum- and SF6-insulated high-to-medium voltage switching stations. Electricity production according to related technology datasets. 
Definition of the voltage levels: 
 - High voltage level above 24 kV (large scale industry)
 - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
and public buildings)
 - Low voltage level below 1 kV (Households)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff-3.9.1,32c16984-e8a4-5858-8850-2de444d05f0b_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,QA,"market for electricity, medium voltage",[],1.0,"electricity, medium voltage",[],process,kilowatt hour
