activity,activity type,authors,classifications,code,comment,database,filename,flow,location,name,parameters,production amount,reference product,synonyms,type,unit
e29ee070-9de5-56a2-a384-4960944e9474,market activity,"{'data entry': {'name': 'Johannes Müller', 'email': 'mueller@ecoinvent.org'}, 'data generator': {'name': 'Johannes Müller', 'email': 'mueller@ecoinvent.org'}}","[('EcoSpold01Categories', 'hard coal/power plants'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",0cd20fe6061c81eb5529d215fda879cb,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level in State Grid East China Branch. This is done by showing the transmission of 1kWh electricity at high voltage.
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines. Electricity production according to related  technology datasets.
Definition of the voltage levels: 
 - High voltage level above 24 kV (large scale industry)
 - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
and public buildings)
 - Low voltage level below 1 kV (Households)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff-3.9.1,e29ee070-9de5-56a2-a384-4960944e9474_66c93e71-f32b-4591-901c-55395db5c132.spold,66c93e71-f32b-4591-901c-55395db5c132,CN-ECGC,"market for electricity, high voltage",[],1.0,"electricity, high voltage",[],process,kilowatt hour
6ab282b6-5a75-541a-a567-e354fbb8b3c3,market activity,"{'data entry': {'name': 'Johannes Müller', 'email': 'mueller@ecoinvent.org'}, 'data generator': {'name': 'Johannes Müller', 'email': 'mueller@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('EcoSpold01Categories', 'hard coal/power plants'), ('CPC', '17100: Electrical energy')]",8d061c560deca234d1739fed99506a5a,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level in State Grid Northeast China Branch. This is done by showing the transmission of 1kWh electricity at high voltage.
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines. Electricity production according to related  technology datasets.
Definition of the voltage levels: 
 - High voltage level above 24 kV (large scale industry)
 - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
and public buildings)
 - Low voltage level below 1 kV (Households)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff-3.9.1,6ab282b6-5a75-541a-a567-e354fbb8b3c3_66c93e71-f32b-4591-901c-55395db5c132.spold,66c93e71-f32b-4591-901c-55395db5c132,CN-NECG,"market for electricity, high voltage",[],1.0,"electricity, high voltage",[],process,kilowatt hour
9db063b2-21e3-5c8f-bbc3-7dc7362023a1,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('EcoSpold01Categories', 'transport systems/ship'), ('ISIC rev.4 ecoinvent', '5012:Sea and coastal freight water transport'), ('CPC', '65219: Other coastal and transoceanic water transport services of other freight')]",d1b08d3717f43de36c6d91f3557f7082,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'transport, freight, sea, bulk carrier for dry goods', in the Global geography.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is delivering the service of transportation of 1 metric ton across the distance of 1 km. This service only considers the transportation of dry goods that required specialized transhipment and storage facilities, like solid fuels, building materials, dry foods (sugar, seeds, rice, etc). The carrier operates with heavy fuel oil and it has a mass of 11,160,000 kg. The DWT (load capacity) of the bulk carrier is 50,000 tonnes, and it is estimated to transport an average of 5,100 million million tonne.kms per year for 25 years.  The transport node indirectly considers empty trips (if any) by taking into account the total amount of freight transported throughout the lifetime of the mobile infrastructure.",cutoff-3.9.1,9db063b2-21e3-5c8f-bbc3-7dc7362023a1_eeb68c18-502b-4117-a033-a5daf24322fc.spold,eeb68c18-502b-4117-a033-a5daf24322fc,GLO,"market for transport, freight, sea, bulk carrier for dry goods",[],1.0,"transport, freight, sea, bulk carrier for dry goods",[],process,ton kilometer
f63bc261-6413-5f74-87d3-abffcaa461da,market activity,"{'data entry': {'name': 'Guillaume Bourgault', 'email': 'bourgault@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('EcoSpold01Categories', 'metals/extraction'), ('ISIC rev.4 ecoinvent', '2420:Manufacture of basic precious and other non-ferrous metals'), ('CPC', '41431: Unwrought aluminium')]",11a252f4506e7a68b98e220ee64ffeea,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'aluminium, primary, ingot', in the Global geography.
This product is generally considered to be used at the production site.  Therefore, the market does not contain any transport.",cutoff-3.9.1,f63bc261-6413-5f74-87d3-abffcaa461da_44defed2-3dc7-4d59-b3bc-23dacf1b9140.spold,44defed2-3dc7-4d59-b3bc-23dacf1b9140,RoW,"market for aluminium, primary, ingot",[],1.0,"aluminium, primary, ingot",[],process,kilogram
ab18b032-220f-5a72-8439-cbfc0229fe3f,market activity,"{'data entry': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}, 'data generator': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}}","[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",3e69ddbddebabd1c652045a6a8c9074b,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level in Korea, Republic of. This is done by showing the transmission of 1kWh electricity at high voltage.
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines. Electricity production according to related technology datasets.
Definition of the voltage levels:
- High voltage level above 24 kV (large scale industry)
- Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
and public buildings)
- Low voltage level below 1 kV (Households)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff-3.9.1,ab18b032-220f-5a72-8439-cbfc0229fe3f_66c93e71-f32b-4591-901c-55395db5c132.spold,66c93e71-f32b-4591-901c-55395db5c132,KR,"market for electricity, high voltage",[],1.0,"electricity, high voltage",[],process,kilowatt hour
af09d0cc-84be-5c87-af49-9d9525dbbf9d,market activity,"{'data entry': {'name': 'Carl Vadenbo', 'email': 'vadenbo@ecoinvent.org'}, 'data generator': {'name': 'Christoph Meili', 'email': 'meili@esu-services.ch'}}","[('ISIC rev.4 ecoinvent', '4661:Wholesale of solid, liquid and gaseous fuels and related products'), ('CPC', '12010: Petroleum oils and oils obtained from bituminous minerals, crude')]",c7cf571e5175aa5d01e44a386009bcec,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and the imports of the product (if relevant) within the same geographical area. They also account for transport (distribution) to the consumer and for the losses during that process, when relevant.
This is the market for crude ‘petroleum"" oil [kg], in the geography of Global.The consumption mix is calculated based on international trade statistics for 2019. The modelling approach for transport from extraction site to the port of destination via pipelines or tanker freight ships is described in Meili et al. (2022, section 3.4). Further transport from seaport to refinery is described in section 3.6.Crude ""petroleum"" oil is a fossil fuel with a net calorific value of 43.4 MJ/kg. The density of petroleum set to 858.1 kg/m3. Its main application is as the feedstock for petroleum refineries, for the production of various fuels and petrochemicals.
Reference(s): 
C. Meili, N. Jungbluth, M. Bussa (2022) Life cycle inventories of of long-distance transport of crude oil. ESU-services Ltd. Schaffhausen, Switzerland. Availble from: http://esu-services.ch/data/public-lci-reports/
Geography:  Global",cutoff-3.9.1,af09d0cc-84be-5c87-af49-9d9525dbbf9d_e6aad2de-0b1b-49c3-a0c4-797ba34d87e5.spold,e6aad2de-0b1b-49c3-a0c4-797ba34d87e5,RoW,market for petroleum,[],1.0,petroleum,[],process,kilogram
044043d2-bdfc-55f1-9d2d-e8431d5266c7,market activity,"{'data entry': {'name': 'Guillaume Bourgault', 'email': 'bourgault@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '2410:Manufacture of basic iron and steel'), ('EcoSpold01Categories', 'metals/extraction'), ('CPC', '4121: Flat-rolled products of steel, not further worked than hot-rolled')]",a0bd454544d5b0919de48edec5c458e7,"This is a market activity. In the case of services or immobile infrastructures, markets are connecting suppliers and consumers at a global level. For specific connections at regional level, direct links between the local producing activities and the local consumers are preferred. Transport or losses are logically not relevant for this type of products.
This is the market for  'steel, low-alloyed, hot rolled', in the Global geography.
This market contains no transport or losses, as they are irrelevant for the delivered product.",cutoff-3.9.1,044043d2-bdfc-55f1-9d2d-e8431d5266c7_8cb650d5-8a48-4719-81b1-2080b3b4387f.spold,8cb650d5-8a48-4719-81b1-2080b3b4387f,GLO,"market for steel, low-alloyed, hot rolled",[],1.0,"steel, low-alloyed, hot rolled",[],process,kilogram
7ea6f85b-6660-52ab-b1a5-eb27d70cef47,market activity,"{'data entry': {'name': 'Muhammed Noor Hossain', 'email': 'noorhossain28@gmail.com'}, 'data generator': {'name': 'Muhammed Noor Hossain', 'email': 'noorhossain28@gmail.com'}}","[('EcoSpold01Categories', 'hard coal/power plants'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",74825a57bdad04327eb182059528764d,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level in India, Eastern grid. This is done by showing the transmission of 1kWh electricity at high voltage.
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines. Electricity production according to related  technology datasets.
Definition of the voltage levels: 
 - High voltage level above 24 kV (large scale industry)
 - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
and public buildings)
 - Low voltage level below 1 kV (Households)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff-3.9.1,7ea6f85b-6660-52ab-b1a5-eb27d70cef47_66c93e71-f32b-4591-901c-55395db5c132.spold,66c93e71-f32b-4591-901c-55395db5c132,IN-Western grid,"market for electricity, high voltage",[],1.0,"electricity, high voltage",[],process,kilowatt hour
11fb8678-d8bc-5d3f-bfdd-08fd52eed3c1,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '0610:Extraction of crude petroleum'), ('EcoSpold01Categories', 'oil/production'), ('CPC', '12020: Natural gas, liquefied or in the gaseous state')]",f36892589470efa9b2e856c9e41a6fd7,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'natural gas, vented', in the Global geography.
No transport required.
'natural gas, vented' describes the emissions due to the venting of natural gas during crude oil production.",cutoff-3.9.1,11fb8678-d8bc-5d3f-bfdd-08fd52eed3c1_24915790-23b1-4900-86ac-3b025be19c06.spold,24915790-23b1-4900-86ac-3b025be19c06,GLO,"market for natural gas, vented",[],1.0,"natural gas, vented",[],process,cubic meter
96b30feb-c4e0-5062-a627-088beb5b04ed,market activity,"{'data entry': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}, 'data generator': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}}","[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",4a4da2b547764d5bf24ba0532cd6159a,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level in Indonesia. This is done by showing the transmission of 1kWh electricity at high voltage.
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines. Electricity production according to related technology datasets.
Definition of the voltage levels:
- High voltage level above 24 kV (large scale industry)
- Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
and public buildings)
- Low voltage level below 1 kV (Households)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff-3.9.1,96b30feb-c4e0-5062-a627-088beb5b04ed_66c93e71-f32b-4591-901c-55395db5c132.spold,66c93e71-f32b-4591-901c-55395db5c132,ID,"market for electricity, high voltage",[],1.0,"electricity, high voltage",[],process,kilowatt hour
