activity,activity type,authors,classifications,code,comment,database,filename,flow,location,name,parameters,production amount,reference product,synonyms,type,unit
2284a4ac-cfbb-582d-b078-b1a97935fdf6,market activity,"{'data entry': {'name': 'Johannes Müller', 'email': 'mueller@ecoinvent.org'}, 'data generator': {'name': 'Johannes Müller', 'email': 'mueller@ecoinvent.org'}}","[('EcoSpold01Categories', 'metals/extraction'), ('ISIC rev.4 ecoinvent', '2410:Manufacture of basic iron and steel'), ('CPC', '41111: Pig iron and spiegeleisen in pigs, blocks or other primary forms')]",91dfca9646e64edc88108008d80355bc,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'pig iron', in the geography of Europe.
This activity represents the supply of pig iron (hot metal) to steelmaking plants in Europe.
Transport distances are based on the ecoinvent ""Default Transport Assumptions"" model, accessible on the ecoinvent website.
Geography:  Activity represents the supply of iron ore concentrate in Europe.",cutoff-3.9.1,2284a4ac-cfbb-582d-b078-b1a97935fdf6_a636ed9e-f90a-48cb-a180-c75b1fc92cf1.spold,a636ed9e-f90a-48cb-a180-c75b1fc92cf1,RER,market for pig iron,[],1.0,pig iron,[],process,kilogram
f5eff8f9-7b0c-54d7-baa3-c8ef3e8a6611,market activity,"{'data entry': {'name': 'Guillaume Bourgault', 'email': 'bourgault@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('EcoSpold01Categories', 'metals/extraction'), ('ISIC rev.4 ecoinvent', '2410:Manufacture of basic iron and steel'), ('CPC', '41122: Alloy steel in ingots or other primary forms and semi-finished products of alloy steel')]",683f869780ee789d92d3b2a737534a44,"This is a market activity. In the case of services or immobile infrastructures, markets are connecting suppliers and consumers at a global level. For specific connections at regional level, direct links between the local producing activities and the local consumers are preferred. Transport or losses are logically not relevant for this type of products.
This is the market for  'steel, chromium steel 18/8, hot rolled', in the Global geography.
This market contains no transport or losses, as they are irrelevant for the delivered product.",cutoff-3.9.1,f5eff8f9-7b0c-54d7-baa3-c8ef3e8a6611_c5246dbb-0abd-4bee-8dda-d52a1b202322.spold,c5246dbb-0abd-4bee-8dda-d52a1b202322,GLO,"market for steel, chromium steel 18/8, hot rolled",[],1.0,"steel, chromium steel 18/8, hot rolled",[],process,kilogram
96a47fbc-5b72-5f6a-88b5-51faceede3db,market activity,"{'data entry': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}, 'data generator': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '4923:Freight transport by road'), ('EcoSpold01Categories', 'transport systems/road'), ('CPC', '6511: Road transport services of freight')]",89623197c57b56d7c134a66cbe3e995d,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'transport, freight, lorry 3.5-7.5 metric ton, EURO5', in the geography of Europe.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is delivering the service of transportation of 1 metric ton across the distance of 1 km. This service only considers the transportation of goods. The vehicle operates with diesel, its emission standard is classified as EURO5 and it falls under the lorry size class of 3.5-7.5 metric tons. The average freight load factor of a 3.5-7.5 metric ton lorry is 0.98 tonnes, with a gross vehicle weight (GVW) of 4.98 tonnes. It has a lifetime capacity of 540,000 km. Data for transport is calculated for an average load factor, including empty return trips.",cutoff-3.9.1,96a47fbc-5b72-5f6a-88b5-51faceede3db_99598921-d5df-489f-b96c-7dd4ba6b36a6.spold,99598921-d5df-489f-b96c-7dd4ba6b36a6,RER,"market for transport, freight, lorry 3.5-7.5 metric ton, EURO5",[],1.0,"transport, freight, lorry 3.5-7.5 metric ton, EURO5",[],process,ton kilometer
5271238e-7c4c-5dca-ab27-a552fbbe20e1,market activity,"{'data entry': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}, 'data generator': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '4923:Freight transport by road'), ('EcoSpold01Categories', 'transport systems/road'), ('CPC', '6511: Road transport services of freight')]",774f0b2116e353e111ea31f3b84f9b60,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'transport, freight, lorry 16-32 metric ton, EURO5', in the geography of Europe.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is delivering the service of transportation of 1 metric ton across the distance of 1 km. This service only considers the transportation of goods. The vehicle operates with diesel, its emission standard is classified as EURO5 and it falls under the lorry size class of 16-32 metric tons. The average freight load factor of a 16-32 metric ton lorry is 5.79 tonnes, with a gross vehicle weight (GVW) of 15.79 tonnes. It has a lifetime capacity of 540,000 km. Data for transport is calculated for an average load factor, including empty return trips.",cutoff-3.9.1,5271238e-7c4c-5dca-ab27-a552fbbe20e1_f4e8b38b-d6c7-423b-bc9c-13b4a13d55f8.spold,f4e8b38b-d6c7-423b-bc9c-13b4a13d55f8,RER,"market for transport, freight, lorry 16-32 metric ton, EURO5",[],1.0,"transport, freight, lorry 16-32 metric ton, EURO5",[],process,ton kilometer
5f3f8029-1b6e-51c8-aba0-2e142f08ecc6,market activity,"{'data entry': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}, 'data generator': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}}","[('EcoSpold01Categories', 'transport systems/road'), ('ISIC rev.4 ecoinvent', '4923:Freight transport by road'), ('CPC', '6511: Road transport services of freight')]",031e674dd8d31db468ba33f6578e3a6b,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'transport, freight, lorry 16-32 metric ton, EURO3', in the geography of Europe.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is delivering the service of transportation of 1 metric ton across the distance of 1 km. This service only considers the transportation of goods. The vehicle operates with diesel, its emission standard is classified as EURO3 and it falls under the lorry size class of 16-32 metric tons. The average freight load factor of a 16-32 metric ton lorry is 5.79 tonnes, with a gross vehicle weight (GVW) of 15.79 tonnes. It has a lifetime capacity of 540,000 km. Data for transport is calculated for an average load factor, including empty return trips.",cutoff-3.9.1,5f3f8029-1b6e-51c8-aba0-2e142f08ecc6_f9895e44-5657-47fc-8eec-a4985e2bce2e.spold,f9895e44-5657-47fc-8eec-a4985e2bce2e,RER,"market for transport, freight, lorry 16-32 metric ton, EURO3",[],1.0,"transport, freight, lorry 16-32 metric ton, EURO3",[],process,ton kilometer
413dcd46-cd26-57f7-9bc0-5c52a18c254a,market activity,"{'data entry': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}, 'data generator': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}}","[('EcoSpold01Categories', 'transport systems/road'), ('ISIC rev.4 ecoinvent', '4923:Freight transport by road'), ('CPC', '6511: Road transport services of freight')]",508cc8b20d83e7b31af9848e1fb45815,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'transport, freight, lorry >32 metric ton, EURO6', in the geography of Europe.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is delivering the service of transportation of 1 metric ton across the distance of 1 km. This service only considers the transportation of goods. The vehicle operates with diesel, its emission standard is classified as EURO6 and it falls under the lorry size class of >32 metric tons. The average freight load factor of a >32 metric ton lorry is 15.96 tonnes, with a gross vehicle weight (GVW) of 29.96 tonnes. It has a lifetime capacity of 540,000 km as heavy commercial vehicle. Data for transport is calculated for an average load factor, including empty return trips.",cutoff-3.9.1,413dcd46-cd26-57f7-9bc0-5c52a18c254a_52a8f3c4-df5d-4f18-830b-985bcd8ac830.spold,52a8f3c4-df5d-4f18-830b-985bcd8ac830,RER,"market for transport, freight, lorry >32 metric ton, EURO6",[],1.0,"transport, freight, lorry >32 metric ton, EURO6",[],process,ton kilometer
eb9edc7c-4281-5275-acbb-dc4c5d1a3791,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('EcoSpold01Categories', 'chemicals/inorganics'), ('CPC', '34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.')]",7b1c78870de54bd3dd8e2c44e512eea2,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'oxygen, liquid', in the Global geography.
Special transport modelling for liquid gases: No ship transport and normal transport modelling for chemicals reduced by 90%.
None
oxygen, liquid'  is an inorganic substance with a CAS no. : 007782-44-7. It is called 'molecular oxygen' under IUPAC naming and its molecular formula is: O2. It is liquid. It is modelled as a pure substance.  There is no publicly available information about the consumption of this substance on a consumer level. On industrial sites, the substance is used for the manufacture of products in the following sectors: medicine and chemicals.",cutoff-3.9.1,eb9edc7c-4281-5275-acbb-dc4c5d1a3791_28c2473e-1e11-4078-9a76-de9550553adc.spold,28c2473e-1e11-4078-9a76-de9550553adc,RoW,"market for oxygen, liquid",[],1.0,"oxygen, liquid",[],process,kilogram
c208c684-49ad-5509-8cc1-acc66446b547,market activity,"{'data entry': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}, 'data generator': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}}","[('EcoSpold01Categories', 'oil/cogeneration'), ('ISIC rev.4 ecoinvent', '3530:Steam and air conditioning supply'), ('CPC', '17300: Steam and hot water')]",17bb323906cec23f858083ff85f6ce84,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'heat, district or industrial, other than natural gas', in the geography of Europe without Switzerland.
The shares of heat supplying activities from the different technologies have been estimated based on IEA statistics (http://www.iea.org/stats/electricitydata.asp?COUNTRY_CODE=25) for the year 2009. They amount to about 52% heat from coal and peat, 16% heat from oil, 18% heat from biofuels (modelled with biogas and wood), 11% heat from waste and 2% heat from other sources. The shares of the individual supplying activities do not necessarily correspond to reality and will have to be refined in future. ",cutoff-3.9.1,c208c684-49ad-5509-8cc1-acc66446b547_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold,71e2f1db-a2c5-44d0-8337-dfff15be974d,Europe without Switzerland,"market for heat, district or industrial, other than natural gas",[],1.0,"heat, district or industrial, other than natural gas",[],process,megajoule
c196bae3-25e3-50dc-91f0-d5e80450ef07,market activity,"{'data entry': {'name': 'Tereza Levova', 'email': 'levova@ecoinvent.org'}, 'data generator': {'name': 'Tereza Levova', 'email': 'levova@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '2394:Manufacture of cement, lime and plaster'), ('CPC', '374: Plaster, lime and cement')]",c7707a4b22e3c256430f0d9254212482,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'cement, alternative constituents 21-35%', in the geography of Switzerland.
The transport distances in this market are taken from a model based on statistics on transport of goods in Switzerland (Valsasina, 2016, Default transport data per commodity group for Switzerland, ecoinvent, www.ecoinvent.org).
The product ""cement, alternative constituents 21-35%"" represents the production mix of CEM II/B-M (T-LL), CEM II/B-LL, CEM II/B-M (V-LL) and CEM II/B-T according to EN 197-1. This product is made of clinker and 21-35% alternative constituents (weight-%). Alternative constituents include limestone, granulated blast furnace slag, silica sand (max. 10%), pozzolan, flue ash or burned slate. 
Geography:  Due to low price, big weight and consumers distribution cement is not traded globally. In case of Switzerland app. 98% of production coming from Switzerland is also consumed in Switzerland (UN comtrade database). This assessment is confirmed by an expert in the field. ",cutoff-3.9.1,c196bae3-25e3-50dc-91f0-d5e80450ef07_936059f1-6468-444f-a00d-fd59386943a3.spold,936059f1-6468-444f-a00d-fd59386943a3,CH,"market for cement, CEM II/B",[],1.0,"cement, CEM II/B",[],process,kilogram
14469ffd-acd1-5bc9-b9fe-7d535604f4ff,market activity,"{'data entry': {'name': 'Carl Vadenbo', 'email': 'vadenbo@ecoinvent.org'}, 'data generator': {'name': 'Maresa Bussa', 'email': 'bussa@esu-services.ch'}}","[('ISIC rev.4 ecoinvent', '3520:Manufacture of gas; distribution of gaseous fuels through mains'), ('CPC', '69120: Gas distribution through mains (on own account)')]",987ab6e22610dd0b21058aecfb826fbd,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and the imports of the product (if relevant) within the same geographical area. They also account for transport (distribution) to the consumer and for the losses during that process, when relevant.
This is the market for ‘natural gas, low pressure"" [m3], in the geography of Switzerland. 
The consumption mix is supplied (after pressure reduction) by the corresponding market activity for natural gas at high pressure. 
The product ‘natural gas, low pressure"" is a fossil fuel, for which a generic gross calorific value (GCV) of 40MJ/m3, a net calorific value (NCV) of 36.0 MJ/m3 and a density of 0.735kg/m3 for natural gas are applied, in line with the global statistics (referring to standard cubic meters, Sm3, measured at 15°C and 1013 mbar), based on Meili et al. (2022). It is used as a gaseous fuel and is sourced from oil and gas production and evaporation of liquid natural gas. Local distribution of natural gas for residential, commercial, and small industrial users in low-pressure networks with an overpressure below 0.1 bar.
Reference(s): 
Bussa, M., N. Jungbluth, Ch. Meili (2022) Life cycle inventories for long-distance transport and distribution of natural gas. ESU-services Ltd. Schaffhausen, Switzerland. Available from: http://esu-services.ch/data/public-lci-reports/
Geography:  Switzerland
Technology:  Local supply of low pressure natural gas with an initial overpressure of less than 0.1 bar (or 100 hPa). Natural gas consumption for energy supply to the network is estimated to 0.12%, and the emission rate of gas lost thoughout the network to 0.25%, as described in Bussa et al. (2022, section 6.3). ",cutoff-3.9.1,14469ffd-acd1-5bc9-b9fe-7d535604f4ff_609fae33-2e89-4b99-8129-b1f80a6dda33.spold,609fae33-2e89-4b99-8129-b1f80a6dda33,CH,"market for natural gas, low pressure",[],1.0,"natural gas, low pressure",[],process,cubic meter
