activity,activity type,authors,classifications,code,comment,database,filename,flow,location,name,parameters,production amount,reference product,synonyms,type,unit
8a105b56-c064-41e9-b2c0-421bcf2488ae,market activity,"{'data entry': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}, 'data generator': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}}","[('EcoSpold01Categories', 'electricity/supply mix'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",9c32d812e33a2f2d9c6d4b77794a335d,"The shares of electricity technologies on this market are valid for the year 2018. They have been calculated by the data provider and don't correspond with the production volumes entered in the undefined datasets of the different electricity supplying technologies. The shares have been calculated based on statistics from 2018: IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en and ENTSO-E: Physical Energy & Power Flows, https://www.entsoe.eu/data/power-stats/physical-flows/. Grid losses are based on data from 2018 (also IEA World Energy Statistics and Balances).
This dataset describes the electricity available on the high voltage level in Finland. This is done by showing the transmission of 1kWh electricity at high voltage.
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines, as well as air-, vacuum- and SF6-insulated high-to-medium voltage switching stations. Electricity production according to related technology datasets.
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff38,8a105b56-c064-41e9-b2c0-421bcf2488ae_d69294d7-8d64-4915-a896-9996a014c410.spold,d69294d7-8d64-4915-a896-9996a014c410,FI,"market for electricity, low voltage",[],1.0,"electricity, low voltage",[],process,kilowatt hour
a94283cd-b236-4dad-b1d7-cf7d39457cec,ordinary transforming activity,"{'data entry': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}, 'data generator': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '2394:Manufacture of cement, lime and plaster'), ('CPC', '374: Plaster, lime and cement')]",a5ca7e9ec4ec9eee4c62ee4c676e2f32,"This is a linking (transfering) activity which links the specific cement to the generic market for cement, unspecified.",cutoff38,a94283cd-b236-4dad-b1d7-cf7d39457cec_ec23da1b-e5fa-4f01-bd2c-3233fece2175.spold,ec23da1b-e5fa-4f01-bd2c-3233fece2175,RoW,"cement, all types to generic market for cement, unspecified",[],1.0,"cement, unspecified",[],process,kilogram
be724c30-9465-4c62-83b5-0f92d5cde92f,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '4100:Construction of buildings'), ('EcoSpold01Categories', 'construction processes/buildings'), ('CPC', '531: Buildings')]",9aaf9b33dd2afc9d0e42703f659af988,"This market contains no transport or losses, as they are irrelevant for the delivered product.
This is the market for  'building, hall', in the Global geography.
This is a market activity. In the case of services or immobile infrastructures, markets are connecting suppliers and consumers at a global level. For specific connections at regional level, direct links between the local producing activities and the local consumers are preferred. Transport or losses are logically not relevant for this type of products.",cutoff38,be724c30-9465-4c62-83b5-0f92d5cde92f_d72638dc-71b8-4c4f-b5c7-72cbe6bdd145.spold,d72638dc-71b8-4c4f-b5c7-72cbe6bdd145,GLO,"market for building, hall",[],1.0,"building, hall",[],process,square meter
a74dd153-e2f0-4fce-8611-720e56a5a1dc,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '3822:Treatment and disposal of hazardous waste'), ('EcoSpold01Categories', 'waste management/residual material landfill'), ('CPC', '39: Wastes or scraps')]",62c133e1b14a05fa061824feb3e7d242,"This is a market activity, representing a treatment mix. In the case of products needing treatment, market mixes are supplied by the activities treating the product in the geography defined by the market, and they supply the activities needing to treat the product, as they have generated it as a by-product in the Undefined processes (present as a negative input in system models). Transport to the treating facility or losses are also accounted in this type of markets, when relevant.
This is the market for  'waste cement, hydrated', in the Global geography.
Transport from producers to consumers of this product in the geography covered by the market is included.",cutoff38,a74dd153-e2f0-4fce-8611-720e56a5a1dc_7f6bb533-2d3c-43a6-ac60-6eef299d7c52.spold,7f6bb533-2d3c-43a6-ac60-6eef299d7c52,RoW,"market for waste cement, hydrated",[],-1.0,"waste cement, hydrated",[],process,kilogram
808328ea-2f06-4b2b-8386-ed2a41025df0,market activity,"{'data entry': {'name': 'Guillaume Bourgault', 'email': 'bourgault@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('EcoSpold01Categories', 'waste management/municipal incineration'), ('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')]",9e2322b1e96c52896258e5cbe22ff219,"Estimated based on UN statistics, data on plastic production from Plastics Europe, and information from Riber, 2008.
This is a market activity, representing a treatment mix. In the case of products needing treatment, market mixes are supplied by the activities treating the product in the geography defined by the market, and they supply the activities needing to treat the product, as they have generated it as a by-product in the Undefined processes (present as a negative input in system models). Transport to the treating facility or losses are also accounted in this type of markets, when relevant.
In this market, expert judgement was used to develop product specific transport distance estimations.
This is the market for  'waste polyethylene', in the Global geography.",cutoff38,808328ea-2f06-4b2b-8386-ed2a41025df0_7ee0ddc3-924d-4339-b9bf-7856af6a698f.spold,7ee0ddc3-924d-4339-b9bf-7856af6a698f,RoW,market for waste polyethylene,[],-1.0,waste polyethylene,[],process,kilogram
a704d64d-e19d-4857-bca6-da139cd731ea,market activity,"{'data entry': {'name': 'Guillaume Bourgault', 'email': 'bourgault@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '2013:Manufacture of plastics and synthetic rubber in primary forms'), ('EcoSpold01Categories', 'plastics/polymers'), ('CPC', '34730: Polymers of vinyl chloride or other halogenated olefins, in primary forms')]",2dca1e3f8fe7bf2f09c34416eed61d1e,"This is the market for  'polyvinylchloride, bulk polymerised', in the Global geography.
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
In this market, expert judgement was used to develop product specific transport distance estimations.
'polyvinylchloride, bulk polymerised', is a plastic product of fossil origin, it is not biodegradable and it is a thermoplastic material. This product consists of 100% virgin material with no content of recycled material. The product is used in the following applications and sectors: Building products (window frames and other profiles, floor and wall coverings, roofing sheets, linings for tunnels, swimming-pools and reservoirs), piping (water and sewerage pipes and fittings, and ducts for power and telecommunications), coatings (tarpaulins, rainwear and corrugated metal sheets), insulation and sheathing for low voltage power supplies, telecommunications, appliances, and automotive applications, packaging, pharmaceuticals, food and confectionery, water and fruit juices, labels, presentation trays, automotive applications (cables, underbody coating and interior trimmings), medical products (blood bags, transfusion tubes and surgical gloves), leisure products (garden hoses, footwear, inflatable pools, tents).
     ",cutoff38,a704d64d-e19d-4857-bca6-da139cd731ea_1768722c-0cb1-4b0b-9183-2ff16919120e.spold,1768722c-0cb1-4b0b-9183-2ff16919120e,GLO,"market for polyvinylchloride, bulk polymerised",[],1.0,"polyvinylchloride, bulk polymerised",[],process,kilogram
2166f461-f499-4c27-a097-99ca35b960a3,market activity,"{'data entry': {'name': 'Avraam Symeonidis', 'email': 'Symeonidis@ecoinvent.org'}, 'data generator': {'name': 'Avraam Symeonidis', 'email': 'Symeonidis@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39310: Slag, dross, scalings and other waste from the manufacture of iron or steel')]",89f9df3f8bd4fda5d0b88b8c7240018e,"Assuming a generation rate of 0.3 kg/t HM [hot metal] and that 14.6% of basic oxygen furnace secondary metallurgy slag is recycled internally (worldsteel, 2010); the rest is sent for disposal in a landfill or is recovered for recycing (e.g. in cement making or iron sintering).

References:
Worldsteel (2010). Steel industry by-products. World Steel Association: Brussels, Belgium.
This market represents the global supply of 'electric arc furnace slag', a by-product of the steelmaking industry that is typically either sent for disposal in a landfill or recovered for internal or external use (e.g. in iron and steelmaking or cement making). This dataset includes the transportation of materials to the landfill site or the location of their subsequent use (recycling). No material losses during transportation are included.
This is a market activity, representing a treatment mix. In the case of products needing treatment, market mixes are supplied by the activities treating the product in the geography defined by the market, and they supply the activities needing to treat the product, as they have generated it as a by-product in the Undefined processes (present as a negative input in system models). Transport to the treating facility or losses are also accounted in this type of markets, when relevant.
Time period:  Worldsteel (2010). Steel industry by-products. World Steel Association: Brussels, Belgium.
References:
Time period based on the range of years of publication from which by product fate data were taken (see worldsteel, 2010).",cutoff38,2166f461-f499-4c27-a097-99ca35b960a3_6e74937e-b691-4c49-9b8f-5ba44d7c081d.spold,6e74937e-b691-4c49-9b8f-5ba44d7c081d,RER,market for electric arc furnace slag,[],-1.0,electric arc furnace slag,[],process,kilogram
bb21d806-04e1-400b-89a9-d5c7a078ddb4,market activity,"{'data entry': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}, 'data generator': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '4912:Freight rail transport'), ('EcoSpold01Categories', 'transport systems/train'), ('CPC', '6512: Railway transport services of freight')]",0634bf869ca1628473a2b40cc3381332,"This is the market for  'transport, freight train', in the geography of India.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is delivering the service of transportation of 1 metric ton across the distance of 1 km. This service only considers the transportation of goods. The vehicle operates with diesel, electricity or gard coal, while it has a mass of 1000 Gt.  The transport node indirectly considers empty trips (if any) by taking into account the total amount of freight transported throughout the lifetime of the mobile infrastructure.
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.",cutoff38,bb21d806-04e1-400b-89a9-d5c7a078ddb4_0ace02fa-eca5-482d-a829-c18e46a52db4.spold,0ace02fa-eca5-482d-a829-c18e46a52db4,IN,"market for transport, freight train",[],1.0,"transport, freight train",[],process,ton kilometer
089be798-f0cd-4f53-9f94-b204a75edf25,market activity,"{'data entry': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}, 'data generator': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}}","[('EcoSpold01Categories', 'natural gas/power plants'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",55e57377c3717c633a1563680f01ecce,"The shares of electricity technologies on this market are valid for the year 2018. They have been calculated by the data provider and don't correspond with the production volumes entered in the undefined datasets of the different electricity supplying technologies. The shares have been calculated based on statistics from 2018: IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en and ENTSO-E: Physical Energy & Power Flows, https://www.entsoe.eu/data/power-stats/physical-flows/. Grid losses are based on data from 2018 (also IEA World Energy Statistics and Balances).
This dataset describes the electricity available on the high voltage level in Belgium. This is done by showing the transmission of 1kWh electricity at high voltage.
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines, as well as air-, vacuum- and SF6-insulated high-to-medium voltage switching stations. Electricity production according to related technology datasets. 
 - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
 - High voltage level above 24 kV (large scale industry)
and public buildings)
Definition of the voltage levels: 
 - Low voltage level below 1 kV (Households)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff38,089be798-f0cd-4f53-9f94-b204a75edf25_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,BE,"market for electricity, medium voltage",[],1.0,"electricity, medium voltage",[],process,kilowatt hour
ee9d6c3b-7ed9-4934-96d4-80b68836adb5,market activity,"{'data entry': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}, 'data generator': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}}","[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('EcoSpold01Categories', 'natural gas/power plants'), ('CPC', '17100: Electrical energy')]",5666b2b5cfad7fe5fa6781b51f5b0c37,"The shares of electricity technologies on this market are valid for the year 2014. They have been implemented by the software layer and don't represent the production volumes in the unlinked datasets valid for the year 2012. These shares have been calculated based on statistics from 2014. Basic source: China Electric Power Yearbook 2015 with data for 2014. Further information will be available in a report available on ecoQuery.
This dataset describes the electricity available on the high voltage level in China Southern Power Grid. This is done by showing the transmission of 1kWh electricity at high voltage.
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
Technology:   - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
and public buildings)
 - Low voltage level below 1 kV (Households)
Average technology used to transmit and distribute electricity. Includes underground and overhead lines, as well as air-, vacuum- and SF6-insulated high-to-medium voltage switching stations. Electricity production according to related technology datasets. 
Definition of the voltage levels: 
 - High voltage level above 24 kV (large scale industry)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff38,ee9d6c3b-7ed9-4934-96d4-80b68836adb5_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,CN-CSG,"market for electricity, medium voltage",[],1.0,"electricity, medium voltage",[],process,kilowatt hour
