activity,activity type,authors,classifications,code,comment,database,filename,flow,location,name,parameters,production amount,reference product,synonyms,type,unit
f72f624e-864e-4e02-9e34-0023d37ae94d,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('EcoSpold01Categories', 'oil/production'), ('ISIC rev.4 ecoinvent', '0610:Extraction of crude petroleum'), ('CPC', '862: Support and operation services to mining')]",e5911c20d0d5fee90ecee6a329fde7eb,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'petroleum combustion, in drilling tests', in the Global geography.
No transport required.",cutoff38,f72f624e-864e-4e02-9e34-0023d37ae94d_7c65ea22-94ec-466d-9e23-a130bd72b807.spold,7c65ea22-94ec-466d-9e23-a130bd72b807,GLO,"market for petroleum combustion, in drilling tests",[],1.0,"petroleum combustion, in drilling tests",[],process,kilogram
32e57d90-214d-49e3-813e-5978a0754704,market activity,"{'data entry': {'name': 'David FitzGerald', 'email': 'fitzgerald@ecoinvent.org'}, 'data generator': {'name': 'David FitzGerald', 'email': 'fitzgerald@ecoinvent.org'}}","[('EcoSpold01Categories', 'metals/extraction'), ('ISIC rev.4 ecoinvent', '0729:Mining of other non-ferrous metal ores'), ('CPC', '14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)')]",7488c96ab3eb37e7e45b5db353b64552,"This is the market for  'zinc concentrate', in the Global geography.
This dataset describes the transport of zinc concentrate from the location where it is mined to the location where it is smelted and refined.
The data is based on a study undertaken by the International Zinc Association (IZA) in conjunction with thinkstep (the LCA practitioner) for reference year 2012. The data collected for this study is described in more detail in the dataset ""primary zinc production from concentrate"" (GLO).
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
Geography:  This dataset is intended to be representative of global transport of zinc concentrate. Primary data was collected from 18 smelters, representing operations in Africa, Asia, Australia, Europe, and North America. 
Time period:  All primary data collected for the underlying study is considered to be representative of the year 2012.",cutoff38,32e57d90-214d-49e3-813e-5978a0754704_b7e3b1ef-098a-48f1-b686-8baa82cff1d3.spold,b7e3b1ef-098a-48f1-b686-8baa82cff1d3,GLO,market for zinc concentrate,[],1.0,zinc concentrate,[],process,kilogram
ef8f1d80-f8df-4857-b100-285c6031ccbc,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '2910:Manufacture of motor vehicles'), ('EcoSpold01Categories', 'transport systems/road'), ('CPC', '49114: Motor vehicles n.e.c. for the transport of goods')]",e9d38d23cbf80b941052dfdfa3f9889c,"This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This product is a mobile infrastructure that is used in the service of transportation. This lorry represents the infrastructure used to transport goods with a kilometric performance of 540,000 km. It falls under the class of 16 metric tons, meaning that it has a maximum gross vehicle weight of 16 metric tons.
Transport from producers to consumers of this product in the geography covered by the market is included.
This is the market for  'lorry, 16 metric ton', in the Global geography.",cutoff38,ef8f1d80-f8df-4857-b100-285c6031ccbc_1603f6f1-73ff-47f5-a984-e8c1f888400b.spold,1603f6f1-73ff-47f5-a984-e8c1f888400b,RoW,"market for lorry, 16 metric ton",[],1.0,"lorry, 16 metric ton",[],process,unit
fe61cfcb-cad3-4a53-b56e-9c09606ecc3d,market activity,"{'data entry': {'name': 'Bo Weidema', 'email': 'bow@lca-net.com'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('EcoSpold01Categories', 'chemicals/inorganics'), ('ISIC rev.4 ecoinvent', '0729:Mining of other non-ferrous metal ores'), ('CPC', '3429: Compounds of rare earth metals, of yttrium or of scandium')]",04535a7269ce761f17dcd06559bf267a,"This dataset represents the global market for lanthanum oxide. It includes estimates for average transport requirements from producing to using entity.
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.",cutoff38,fe61cfcb-cad3-4a53-b56e-9c09606ecc3d_cfbc8873-47d4-4411-a18e-578ef35ab871.spold,cfbc8873-47d4-4411-a18e-578ef35ab871,GLO,market for lanthanum oxide,[],1.0,lanthanum oxide,[],process,kilogram
7ee3762c-16b9-4050-8c53-6a45eac01dfb,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '4100:Construction of buildings'), ('EcoSpold01Categories', 'construction processes/buildings'), ('CPC', '531: Buildings')]",2a5a86001d6b65bca8262b691d872533,"This is a market activity. In the case of services or immobile infrastructures, markets are connecting suppliers and consumers at a global level. For specific connections at regional level, direct links between the local producing activities and the local consumers are preferred. Transport or losses are logically not relevant for this type of products.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is the market for  'building, hall, steel construction', in the Global geography.",cutoff38,7ee3762c-16b9-4050-8c53-6a45eac01dfb_7aaf6060-f9b7-43bb-8aee-06aecf386798.spold,7aaf6060-f9b7-43bb-8aee-06aecf386798,GLO,"market for building, hall, steel construction",[],1.0,"building, hall, steel construction",[],process,square meter
da2331da-1bbc-48aa-8d54-561ea9f2318c,market activity,"{'data entry': {'name': 'Muhammed Noor Hossain', 'email': 'noorhossain28@gmail.com'}, 'data generator': {'name': 'Muhammed Noor Hossain', 'email': 'noorhossain28@gmail.com'}}","[('EcoSpold01Categories', 'photovoltaic/power plants'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",b4c6db3dfd1f3b7af43112c05d0fb896,"The shares of electricity technologies on this market are valid for the year 2014. They have been implemented by the software layer and don't represent the production volumes in the unlinked datasets valid for the year 2012. These shares have been calculated based on statistics from 2014. Basic source: IEA. 2017. IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en. Further information will be available in a report available on ecoQuery.
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level in India, Eastern grid. This is done by showing the transmission of 1kWh electricity at high voltage.
Geography:  This geography represents an Indian regional grid {{location}}. 
Technology:  Average technology used to transmit and distribute electricity. Includes underground and overhead lines, as well as air-, vacuum- and SF6-insulated high-to-medium voltage switching stations. Electricity production according to related technology datasets.
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff38,da2331da-1bbc-48aa-8d54-561ea9f2318c_d69294d7-8d64-4915-a896-9996a014c410.spold,d69294d7-8d64-4915-a896-9996a014c410,IN-Eastern grid,"market for electricity, low voltage",[],1.0,"electricity, low voltage",[],process,kilowatt hour
e1223def-a9b3-4cb7-b333-42c780232671,market activity,"{'data entry': {'name': '[System]', 'email': 'support@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('EcoSpold01Categories', 'oil/production'), ('ISIC rev.4 ecoinvent', '4930:Transport via pipeline'), ('CPC', '65131: Transport services via pipeline of petroleum and natural gas')]",884cbd874db451315472adf32268b6bb,"This market contains no transport or losses, as they are irrelevant for the delivered product.
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'transport, pipeline, onshore, petroleum', in the Global geography.
This is delivering the service of transportation of 1 metric ton across the distance of 1 km. This service only considers the transportation of fuels, like petroleum, through onshore pipeline. The pipeline operates with electricity.  ",cutoff38,e1223def-a9b3-4cb7-b333-42c780232671_659981bd-1a5f-4e8c-8208-6e0e7f935332.spold,659981bd-1a5f-4e8c-8208-6e0e7f935332,RoW,"market for transport, pipeline, onshore, petroleum",[],1.0,"transport, pipeline, onshore, petroleum",[],process,ton kilometer
476270c0-3d80-48ef-94c5-eef218cd0e07,market activity,"{'data entry': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}, 'data generator': {'name': 'Lucia Valsasina', 'email': 'valsasina@ecoinvent.org'}}","[('EcoSpold01Categories', 'transport systems/road'), ('ISIC rev.4 ecoinvent', '4923:Freight transport by road'), ('CPC', '6511: Road transport services of freight')]",e26c38ec6c638d68c29122223ea9608b,"This is delivering the service of transportation of 1 metric ton across the distance of 1 km. This service only considers the transportation of goods. The vehicle operates with diesel, it does not meet any emission standard. The average freight load factor of light commercial vehicle is 1.0 tonnes, with a gross vehicle weight (GVW) of 2.0 tonnes. It has a lifetime capacity of 220,000 km. Data for transport is calculated for an average load factor, including empty return trips.
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This market contains no transport or losses, as they are irrelevant for the delivered product.
This is the market for  'transport, freight, light commercial vehicle, unregulated', in the geography of South Africa.",cutoff38,476270c0-3d80-48ef-94c5-eef218cd0e07_55b795a2-886f-419e-af38-fba1b83fa51b.spold,55b795a2-886f-419e-af38-fba1b83fa51b,ZA,"market for transport, freight, light commercial vehicle, unregulated",[],1.0,"transport, freight, light commercial vehicle, unregulated",[],process,ton kilometer
38455400-37f4-4dba-bd0b-6c0903776742,market activity,"{'data entry': {'name': 'Guillaume Bourgault', 'email': 'bourgault@ecoinvent.org'}, 'data generator': {'name': '[System]', 'email': 'support@ecoinvent.org'}}","[('ISIC rev.4 ecoinvent', '2394:Manufacture of cement, lime and plaster'), ('CPC', '37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers')]",940f98528c8ed7af9852933522bdc2f7,"The product ""cement, Portland"" represents Ordinary Portland Cement (CEM I). It consists of 95-100% clinker in mass composition. 
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This is the market for  'cement, Portland', in the Global geography.
In this market, expert judgement was used to develop product specific transport distance estimations.",cutoff38,38455400-37f4-4dba-bd0b-6c0903776742_c5299a8e-d4b4-409c-9826-e8ae9e37c03d.spold,c5299a8e-d4b4-409c-9826-e8ae9e37c03d,RoW,"market for cement, Portland",[],1.0,"cement, Portland",[],process,kilogram
d70bf767-8d29-4bdb-8aed-12d6d3478827,market activity,"{'data entry': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}, 'data generator': {'name': 'Karin Treyer', 'email': 'karin.treyer@psi.ch'}}","[('EcoSpold01Categories', 'hard coal/power plants'), ('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')]",d8f499bf71f7d8988c8b9bb664251a6b,"The shares of electricity technologies on this market are valid for the year 2018. They have been calculated by the data provider and don't correspond with the production volumes entered in the undefined datasets of the different electricity supplying technologies. The shares have been calculated based on statistics from 2018: IEA World Energy Statistics and Balances. OECD iLibrary, eISSN: 1683-4240, DOI: 10.1787/enestats-data-en and ENTSO-E: Physical Energy & Power Flows, https://www.entsoe.eu/data/power-stats/physical-flows/. Grid losses are based on data from 2018 (also IEA World Energy Statistics and Balances).
This is a market activity. Each market represents the consumption mix of a product in a given geography, connecting suppliers with consumers of the same product in the same geographical area. Markets group the producers and also the imports of the product (if relevant) within the same geographical area. They also account for transport to the consumer and for the losses during that process, when relevant.
This dataset describes the electricity available on the high voltage level in Turkey. This is done by showing the transmission of 1kWh electricity at high voltage.
Technology:   - Medium voltage level between 1 kV and 24 kV (medium to small scale industry, service sector
 - Low voltage level below 1 kV (Households)
Average technology used to transmit and distribute electricity. Includes underground and overhead lines. Electricity production according to related  technology datasets.
Definition of the voltage levels: 
and public buildings)
 - High voltage level above 24 kV (large scale industry)
Time period:  The 'Start of Period' and 'End of Period' do not refer to the year for which this market is valid. See general comment for the year for which the shares are based on.",cutoff38,d70bf767-8d29-4bdb-8aed-12d6d3478827_66c93e71-f32b-4591-901c-55395db5c132.spold,66c93e71-f32b-4591-901c-55395db5c132,TR,"market for electricity, high voltage",[],1.0,"electricity, high voltage",[],process,kilowatt hour
